Threads,Time,Operations,mMember,mInsert,mDelete
1,0.072711,10000,0.500000,0.250000,0.250000
2,0.072856,10000,0.500000,0.250000,0.250000
4,0.088028,10000,0.500000,0.250000,0.250000
8,0.093306,10000,0.500000,0.250000,0.250000
